time,temp_c,hum_c,temp_s,hum_s
223313,20.3,50.0,22.0,43.0
223913,21.8,44.6,23.0,40.0
224245,21.2,43.7,21.0,38.0
224307,21.2,47.7,21.0,38.0
224418,20.7,43.7,20.0,40.0
224715,20.1,43.8,19.0,41.0
224921,19.4,43.4,19.0,42.0
224923,19.4,43.4,19.0,42.0
225118,19.1,51.2,18.0,43.0
225200,19.1,43.1,18.0,43.0
225305,19.1,43.1,18.0,43.0
225405,18.6,43.2,17.0,43.0
225650,18.7,42.9,17.0,43.0
225650,18.1,43.0,17.0,43.0
230439,17.5,43.0,17.0,42.0
230715,17.0,43.5,16.0,42.0
231103,16.5,44.3,16.0,44.0
231331,16.3,53.5,16.0,57.0
231514,16.4,57.3,16.0,60.0
231654,16.6,50.5,17.0,63.0
231914,16.8,61.9,17.0,64.0
232053,17.1,62.4,18.0,64.0
232454,17.6,65.5,18.0,62.0
233627,18.5,55.9,20.0,53.0
234502,19.1,55.0,20.0,51.0
235022,19.4,54.2,21.0,51.0
235424,19.6,54.1,21.0,51.0
000016,19.9,53.2,21.0,50.0
000858,20.2,50.4,21.0,46.0
003046,20.7,46.8,21.0,43.0

